slang_word,formal_word
gw,saya
elu,anda
kau,anda
kuy,ayo
kzl,kesal
plz,tolong
aing,saya
blom,belum
cewe,perempuan
duid,uang
kaga,tidak
kece,keren
naek,naik
ntar,nanti
yuk,ayo
yukk,ayo
ayokk,ayo
ayok,ayo
bacot,omong kosong
baper,bawa perasaan
galau,bimbang
gatau,tidak tau
gatuh,benar tidak
gasih,benar tidak
gaada,tidak ada
gamau,tidak mau
gausa, tidak usah
gello,gila
kagak,tidak
kaget,terkejut
lebay,berlebihan
mamam,makan
modar,mati
mumet,pusing
ngaca,refleksi
ngacau,sembarangan
ribet,pusing
sebel,sebal
sotoy,sok tahu
gabakal,tidak akan
gabecus,tidak becus
gaberes,tidak beres
gaboleh, tidak boleh
gajelas, tidak jelas
gakbisa,tidak bisa
gakpeka,tidakpeka
gapunya,tidak punya
gasar,tidaksadar
kumpulx,kumpulnya
tengkyu,terima kasih
gangerti,tidak ngerti
gapeduli,tidak peduli
gapernah,tidak pernah
gasetuju,tidak setuju
gataulah,tidak tahu
gataunya,tidak tahu
gregetan,kesal
pantesan,pantas
