typo,standard_form
adaaa,ada
bante,bantai
bener,benar
besuk,besok
bntuu,bantu
boss,bos
buzzr,buzzer
ceped,cepat
cepet,cepat
dalqm,dakan
deket,dekat
dapet,dapat
gajih,gaji
gemes,gemas
hanyo,hanya
inget,ingat
jeles,jelas
kannn,kan
kesel,kesal
laper,lapar
manut,mengikuti
mepet,berdekatan
mosok,masa
pakek,pakai
pulak,pula
puter,putar
raiso,tidak bisa
sajah,saja
senen,senin
sikit,sedikit
sirem,siram
soale,soalnya
sobat,saudara
sorga,surga
takde,tak ada
teges,tegas
tiiba,tiba
urang,orang
vngst,bangsat
adakalo,ada kalau
adalagi,ada lagi
akherat,akhirat
akfifqq,aktif
alesann,alasan
anjingg,anjing
asligak,asli gak
asyiqqq,asik
bahahia,bahagiabangedh,banget
bangett,banget
bangsad,bangsat
bantuam,bantua
begittu,begitu
begituh,begitu
begunoh,begitu
bejibun,banyak
belonjo,belanja
bnyakyg,banyak yang
buandel,bandel
buanyak,banyak
bulshit,omong kosongdahlahh,udah lah
dbolein,di bolehkan
desease,penyakit
ditegor,ditegur
duitgak,duit gak
gantiin,ganti
gemesss,gemes
gilaaaa,gila
guoblog,goblok
hebattt,hebat
ibukota,ibu kotaindnesa,indonesia
ingetin,ingetkan
kampret,sialan
karepmu,terserah
kenceng,kencang
lebihgw,lebih gw
lagibyk,lagi banyak
lagikalo,lagi kalau
lucknut,laknat
maafgak,maaf tidak
makanye,makanya
makenya,makai
maklomm,maklum
mallitu,mall itu
mallngk,mall ngk
mallnya,mall nya
mampuss,mampus
manalbh,mana lebih
mantabs,mantap
mateeek,mati
melarat,susah
mingkem,diam
mirisss,miris
moodnya,suasana nya
nakutin,menakutkan
nandain,mendandakan
netizen,rakyat
pamdemi,pandemi
parahhh,parah
percoyo,percaya
perkoro,perkara
physcal,fisik
positit,positif
positiv,positif
sampean,anda
segalaa,segala
selesei,selesai
semabko,sembako
susaaaah,susah
tentrem,tentram
udahlah,udah lah
adudomba,adu domba
airputih,air putih
akhirini,akhir ini
amaaaatt,amat
apaaannn,apa
apahhhhh,apa
apakabar,apa kabar
apaorang,apa orang
arahbaru,arah baruaa
yolaaaah,ayo
dianggep,di anggap
dibiarin,di biarin
dibukain,di bukain
didiemin,di diamkan
diginiin,di ginikan
di hadang,di hadang
dihimbau,di himbau
dikatain,di kata
dilakuin,di lakukan
dilupain,di lupakan
dimatiin,di matikan
dinaikin,di naikan
disiapin,di siapkan
diurusin,di urus
dlakukan,dilakukan
dukacita,duka cita
dululagi,dulu lagi
emangdeh,emang dah
gadipake,tidak di pakai
gakmudik,tidak mudik
ginihcuma,cuma begini
harusnyo,harus nya
inikalau,ini kalau
iniorang,ini orang
initetep,ini tetap
kayaknye,sepertinya
lagitrus,lagi terus
lahmudik,mudik
lanjutke,lanajut
lucuabis,lucu abis
lucutapi,lucu tapi
malemnya,malamnya
mallrame,mall ramai
mangsane,mangsanya
mantaapp,mantap
manteman,teman-teman
matijadi,mati jadi
monangis,mau nangis
ngadepin,menghadapi
ngadapin,mengahadpi
orangiya,orang iya
orangtua,orang tua
pleciden,presiden
polulasi,populasi
prustasi,frustasi
ramelalu,rame lalu
rumahibu,rumah ibu
rezekiga,rezeki tidak
sampeyan,anda
